"('breast', 'cancer')",1118
"('cancer', 'risk')",609
"('red', 'meat')",423
"('prostate', 'cancer')",369
"('colorectal', 'cancer')",320
"('physical', 'activity')",292
"('colon', 'cancer')",249
"('cancer', 'prevention')",209
"('cancer', 'incidence')",203
"('lung', 'cancer')",199
"('men', 'women')",191
"('rectal', 'cancer')",175
"('cancer', 'epidemiol')",164
"('cancer', 'cancer')",154
"('processed', 'meat')",154
"('energy', 'intake')",148
"('total', 'cancer')",145
"('cancer', 'mortality')",141
"('ovarian', 'cancer')",141
"('dna', 'methylation')",135
"('meat', 'consumption')",135
"('white', 'meat')",134
"('clin', 'nutr')",127
"('risk', 'factors')",127
"('epidemiol', 'biomarkers')",126
"('diet', 'quality')",116
"('risk', 'colorectal')",116
"('dietary', 'intake')",115
"('risk', 'breast')",113
"('adipose', 'tissue')",111
"('united', 'states')",108
"('cohort', 'studies')",104
"('int', 'cancer')",104
"('among', 'women')",103
"('cancer', 'cases')",103
"('mushroom', 'extract')",103
"('smoking', 'status')",103
"('increased', 'risk')",101
"('postmenopausal', 'women')",101
"('beta', 'carotene')",100
"('dietary', '\xef\xac\x81ber')",98
"('family', 'history')",98
"('alcohol', 'intake')",95
"('prospective', 'cohort')",95
"('public', 'health')",94
"('total', 'energy')",93
"('vegetable', 'intake')",90
"('meat', 'intake')",89
"('mediterranean', 'diet')",88
"('gene', 'expression')",84
"('nutr', 'cancer')",84
"('cases', 'controls')",82
"('pi', 'men')",82
"('cell', 'lines')",78
"('lower', 'risk')",77
"('cancer', 'cells')",76
"('dietary', 'fat')",75
"('dietary', 'patterns')",75
"('fruit', 'vegetable')",75
"('fruits', 'vegetables')",75
"('quartile', 'quartile')",75
"('esophageal', 'cancer')",74
"('among', 'men')",73
"('pancreatic', 'cancer')",73
"('cancer', 'causes')",72
"('growth', 'factor')",72
"('statistically', 'signi\xef\xac\x81cant')",72
"('\xef\xac\x82avonoid', 'intake')",72
"('engl', 'med')",70
"('selenium', 'vitamin')",70
"('systematic', 'review')",69
"('causes', 'control')",68
"('heme', 'iron')",68
"('intake', 'total')",68
"('cardiovascular', 'disease')",66
